,Close,High,Low,Open,Volume,Returns,Volatility_10,Volatility_30,SMA_20,SMA_50,Prev_close,Atr_14,Rolling_Score,Price_SMA_Divergences,Prev_high,Prev_low,BOS_Bullish,BOS_Bearish,BOS,Resistance,Support
49,173.20542907714844,173.29677389806815,170.94673229708107,171.65257979245538,136099200,0.013360764109902945,0.009845022265302011,0.007561945145441564,173.9195343017578,171.06311401367188,170.92178344726562,1.6317406447125222,-0.015249281923114366,-0.004105951798205522,172.66562145538168,169.88378010757538,1,0,1,174.43936590711067,169.73429170514805
50,172.69053649902344,173.07251461307354,171.87673279859945,172.46632424107491,94510400,-0.002972727707603595,0.009819219816306964,0.0073170189442225515,173.83026428222655,171.10513214111327,173.20542907714844,1.6661464997747584,-0.01734166732220943,-0.0065565555451994224,173.29677389806815,170.94673229708107,0,0,0,174.36047528491756,169.73429170514805
51,174.76651000976562,175.43913398541872,171.5777548841367,172.217168336088,228808500,0.012021350751631577,0.010623129396432722,0.007174526375128265,173.8439628601074,171.25028533935546,172.69053649902344,1.879085193943313,-0.004352476062424837,0.0053067540251633015,173.07251461307354,171.87673279859945,1,0,1,174.40406840116015,169.73429170514805
52,173.96937561035156,174.77486728914394,173.57908530533092,174.35136644943532,117917300,-0.004561139313072782,0.010717995629637881,0.007192970514936948,173.82403259277345,171.41105102539063,174.76651000976562,1.9063702786091616,-0.005506097538105159,0.0008361503033278272,175.43913398541872,171.5777548841367,0,0,0,174.4061437543204,169.73429170514805
53,175.50494384765625,176.01375103839567,174.73756480592598,174.92106987324172,177715100,0.008826658323726866,0.009889067881726096,0.0071406251245663445,173.82856826782228,171.56117462158204,173.96937561035156,1.9693532531459559,-0.0030227711147795544,0.009643843912072823,174.77486728914394,173.57908530533092,1,0,1,174.43238312967156,169.73429170514805
54,175.16294860839844,176.08881041728557,175.16294860839844,175.5132729783155,71784500,-0.0019486359287671506,0.009921955417761886,0.007127876207366767,173.8172477722168,171.64483520507812,175.50494384765625,1.9186366498069642,-0.0008650568723324037,0.007742044322006194,176.01375103839567,174.73756480592598,0,0,0,174.46735572451044,169.73429170514805
55,174.1787109375,175.4965924373723,174.11198066589287,175.0378425022575,77805300,-0.005618983230859187,0.008274259819360988,0.007160516653010052,173.73180389404297,171.7362139892578,175.16294860839844,1.8953497026167798,-0.002273143837378311,0.002572396265047675,176.08881041728557,175.16294860839844,0,1,-1,174.4378408611569,169.73429170514805
56,171.6262969970703,174.62075856862816,171.5846017208683,174.38720902091552,159521700,-0.014653994892323885,0.009819240947868428,0.007450511306920589,173.526212310791,171.80311889648436,174.1787109375,2.0558694906700765,-0.017968047840057233,-0.01094886638981025,175.4965924373723,174.11198066589287,0,1,-1,174.35664504861708,169.73429170514805
57,171.2176513671875,172.1351641310568,170.25841785757385,170.95907947257433,153067200,-0.0023810199079794536,0.00895860611629046,0.007462244131875185,173.3105697631836,171.87131622314453,171.6262969970703,1.990628651340856,-0.006331064937139641,-0.012076115143213226,174.62075856862816,171.5846017208683,0,1,-1,174.17317642053695,169.73429170514805
58,171.60968017578125,171.7848360301773,170.90901857569716,171.10087291003566,118939000,0.0022896518289052814,0.008754000574486656,0.007250369323859014,173.14442520141603,171.96761596679687,171.2176513671875,1.9766732124640822,-0.008166527239013233,-0.008863958650989968,172.1351641310568,170.25841785757385,0,0,0,173.97759121737982,169.73429170514805
59,173.7033233642578,174.00360332791317,172.62732758553585,172.64400061365387,96180400,0.012200029662266187,0.008569333679099048,0.007564979126711249,173.02773818969726,172.13634796142577,171.60968017578125,1.9442220381896687,0.020487889449231744,0.0039044905841621844,171.7848360301773,170.90901857569716,1,0,1,173.8730121239924,169.73429170514805
60,172.18524169921875,173.5782159563414,172.12686064447558,172.87755420690462,126768700,-0.008739508465567036,0.008998825548062325,0.007720546469575922,172.87126998901368,172.23137084960936,173.7033233642578,1.9915802355256622,0.013943833441353082,-0.003968434372226985,174.00360332791317,172.62732758553585,0,1,-1,173.74757858298904,169.73429170514805
61,171.57627868652344,172.1768383944999,170.58368659340962,172.15181613395904,137303600,-0.003536673681703073,0.00792055427060435,0.0077407739327365905,172.72130661010743,172.30707305908203,172.18524169921875,1.947014266007839,-0.002326574920956115,-0.006629338013107586,173.5782159563414,172.12686064447558,0,1,-1,173.6168475495181,169.73429170514805
62,172.19354248046875,172.64395594566557,171.32606159768352,171.50956667952272,86900900,0.0035976056752755614,0.008025460000409433,0.007777231556372394,172.59265823364257,172.3781802368164,171.57627868652344,1.842446623163249,0.0074405907050196785,-0.0023124723685147997,172.1768383944999,170.58368659340962,1,0,1,173.496603156326,169.73429170514805
63,173.35296630859375,173.87011008819428,171.16760365028182,171.30105148767876,114368200,0.006733259629968513,0.0077637951831173065,0.007799117617364943,172.64487915039064,172.4223193359375,172.19354248046875,1.86584062224253,0.0008518048899008868,0.004101408403699598,172.64395594566557,171.32606159768352,1,0,1,173.47337203850446,169.73429170514805
64,172.89418029785156,174.12865853822265,172.86082152486782,173.3779652348547,81236300,-0.0026465426032887818,0.007774344058625928,0.0078100503776255,172.63845443725586,172.47605102539063,173.35296630859375,1.861493531871519,0.0011792412193314394,0.0014812798309002746,173.87011008819428,171.16760365028182,0,0,0,173.51081788679622,169.73429170514805
65,173.47805786132812,173.92013479560092,172.7273645424683,173.11939695248358,89351900,0.003377080492071416,0.007736304660010675,0.007818448085085942,172.8015594482422,172.53348846435546,172.89418029785156,1.6708786141465615,-0.0073724201986152815,0.003914886041804289,174.12865853822265,172.86082152486782,0,0,0,173.62004481439288,169.73429170514805
